model,threshold,crps,picp,sharpness,winkler,csi,pod,far,brier,bss,base_rate,n_events,fss_w3,fss_w9,fss_w17
convlstm,avg (>=80),4.816247124652517,0.7842195670208848,17.657743,35.42167515865973,0.6915624005937865,0.8507790016061049,0.21297504393142927,0.06163483251040846,0.6299209942293105,0.2111143239735765,122657,0.8754579799752285,0.9133107696499201,0.9327528797554282
convlstm,heavy (>=95),4.816247124652517,0.7842195670208848,17.657743,35.42167515865973,0.5656538252848616,0.8296856346995622,0.36003683241252304,0.014619633809522543,0.3090541800265332,0.021626580470156524,12565,0.798612829697167,0.8439243116278854,0.8660029081414244
cnn3d,avg (>=80),4.722160214866302,0.7773107652694158,16.002758,35.55795199423138,0.7021444520145976,0.8486103524462526,0.1973101778305597,0.05821944101368396,0.6504283054029397,0.2111143239735765,122657,0.8846417724748971,0.9226226254553624,0.9415311979750621
cnn3d,heavy (>=95),4.722160214866302,0.7773107652694158,16.002758,35.55795199423138,0.6022910430577941,0.8327099084759252,0.314800261951539,0.0139401810222554,0.3411661377778803,0.021626580470156524,12565,0.8316005652734402,0.8809988528141997,0.9076452440078867
fast_rf,avg (>=80),11.708716933909818,0.32863968550666267,26.094248,77.6085220449077,0.2817701688277008,0.3096928834065728,0.24241638579206637,0.12754289730578616,0.23418387451499056,0.2111143239735765,122657,0.5318440179610089,0.5914743655678569,0.6223513218975558
fast_rf,heavy (>=95),11.708716933909818,0.32863968550666267,26.094248,77.6085220449077,0.021333754740834387,0.02148826104257859,0.2520775623268698,0.02036822742494616,0.03736702417479387,0.021626580470156524,12565,0.04876764166646397,0.04149466664993118,0.029871089925286864
persistence,avg (>=80),6.0573557715094735,0.10495733203900874,0.0,60.04094720835946,0.653394860067516,0.7826866791132997,0.20179924006219185,0.07876247852832541,0.5270800850983803,0.2111143239735765,122657,0.8434254675602302,0.8813142109232223,0.9023161916763534
persistence,heavy (>=95),6.0573557715094735,0.10495733203900874,0.0,60.04094720835946,0.5867167919799499,0.7452447274174294,0.26608668390939727,0.012297955414648593,0.41878018295938324,0.021626580470156524,12565,0.8050181924028526,0.8515737095115807,0.8757391415554141
meta_learner,avg (>=80),4.639578454798496,0.7532642108922922,16.446896,34.148089712370506,0.7024547179692974,0.8419984183536202,0.19089178411663782,0.0575497824544909,0.6544491904073753,0.2111143239735765,122657,0.8840903524174916,0.9219155450502121,0.9408775528533425
meta_learner,heavy (>=95),4.639578454798496,0.7532642108922922,16.446896,34.148089712370506,0.6200199825152991,0.7902109033028253,0.2578113320376738,0.012430327782363627,0.41252406633263705,0.021626580470156524,12565,0.8430952437576887,0.8892705914867607,0.911732180052223
